"alt","caption","commentsCount","dimensionsHeight","dimensionsWidth","displayUrl","firstComment","fullName","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29","id","likesCount","locationId","locationName","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","ownerFullName","ownerId","ownerUsername","position","productType","queryTag","shortCode","timestamp","type","url","videoViewCount"
"Photo by Rosemy Cherian in Virajpet, Coorg. May be an image of cake and text that says 'Pondant Piñata Cake'.","#pinatacake #cakes #birthdaycake #cakedecorating #chocolate  #cakesofinstagram #instacake #instafood #baking #yummy #cakestagram #cakedesign #homemade #cupcakes #bakery#delicious #cakeart #pastry #chocolatecake #instagood #foodphotography #buttercream  #desserts #cakelover #cupcake #fondant #foodstagram  #brownies #cakedesigner  #baker","2","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274916174_1178222499652504_2465627911754339801_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=RQ3dhERog88AX8dn0Oy&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-4JIDsIJP5avwuUybLyx0Mv8cDKYQCfwW0pxMjhc8udA&oe=62237650&_nc_sid=4efc9f","","owner didnt open","pinatacake","cakes","birthdaycake","cakedecorating","chocolate","cakesofinstagram","instacake","instafood","baking","yummy","cakestagram","cakedesign","homemade","cupcakes","bakery","delicious","cakeart","pastry","chocolatecake","instagood","foodphotography","buttercream","desserts","cakelover","cupcake","fondant","foodstagram","brownies","cakedesigner","baker","2783024073571401752","1",,,,,,,,,,"42760509732",,"5",,"brownies","CafSaZalYAY","2022-02-27T17:19:04.000Z","Image","https://www.instagram.com/p/CafSaZalYAY/",
"Photo by Cake'O'licious By Maryam on February 27, 2022. May be an image of dessert.","Fudge Brownies 🍫😋

Dm for order 
@_cake_o_licious_
.
.
.
#brownies
#weddingcake
#pinatacakes  #cheesecake #chocolatecheesecake
#minicheesecake #mangocake #reelsinstagram
#reelitfeelit #mangotrufflecake
#chocolatecupcakes🍫🧁
#homemade#Yummy #cakeOlicious #bakedwithlove #madewithlove #lovebaking #cakeartists #cakeart 
#rasmalaicake #butterscotchcakes #redvelvet","0","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274790976_659380688442311_4397470944150875893_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=FMWAFC1-BnMAX8YBRsc&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8guwyIaSWb3vhcSYCYAVPxWJK7DNOqDZ9VVYF4ub8irg&oe=622240B4&_nc_sid=4efc9f","","owner didnt open","brownies","weddingcake","pinatacakes","cheesecake","chocolatecheesecake","minicheesecake","mangocake","reelsinstagram","reelitfeelit","mangotrufflecake","chocolatecupcakes🍫🧁","homemade","Yummy","cakeOlicious","bakedwithlove","madewithlove","lovebaking","cakeartists","cakeart","rasmalaicake","butterscotchcakes","redvelvet",,,,,,,,,"2783024043147103056","1",,,"_cake_o_licious_",,,,,,,"1648458743",,"6",,"brownies","CafSZ9FJ4tQ","2022-02-27T17:19:00.000Z","Image","https://www.instagram.com/p/CafSZ9FJ4tQ/",
"Photo by liv W on February 27, 2022. May be an image of dessert.","Homemade gluten free and dairy free brownie 😋 
#brownies #chocolate #glutenfree #dairyfree #foodflowers","0","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274902145_261737102789645_2457448355455930467_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=hw2o1V0JjxEAX-S-AgM&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT83a0Dbv4x-JANVPGMeROKe4dkK2SUfxVrabpsn6vpboA&oe=6222E2A8&_nc_sid=4efc9f","","owner didnt open","brownies","chocolate","glutenfree","dairyfree","foodflowers",,,,,,,,,,,,,,,,,,,,,,,,,,"2783024022453390838","0",,,,,,,,,,"51078179690",,"7",,"brownies","CafSZpzto32","2022-02-27T17:18:58.000Z","Sidecar","https://www.instagram.com/p/CafSZpzto32/",
"Photo by Joaninha Brownie on February 27, 2022. May be an image of dessert.","Bloco do brownie!!!! Quem disse que nosso brownie não foi para o carnaval? 🎉🎉🎉#doce #doces #fashion #comida #brownies #brownie #confeitaria #bolos #bolo #chef #chocolate #festa #noiva #casamento #aniversario #natal #torta #tortas #festainfantil #carnaval  #bloco","1","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274759824_1010370499553884_594314066930377116_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=4YxqWRfWQcUAX93hAt1&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8P-gahP8u0V_R0-PnUyFFm7NLJlc6SZx-DP4gHs3IFGg&oe=622254B2&_nc_sid=4efc9f","","owner didnt open","doce","doces","fashion","comida","brownies","brownie","confeitaria","bolos","bolo","chef","chocolate","festa","noiva","casamento","aniversario","natal","torta","tortas","festainfantil","carnaval","bloco",,,,,,,,,,"2783023905255541787","0",,,,,,,,,,"49891956622",,"8",,"brownies","CafSX8qLUwb","2022-02-27T17:18:44.000Z","Image","https://www.instagram.com/p/CafSX8qLUwb/",
,"🚨 ALERTA! O vídeo contém cenas fortes! 
Garante a sua dose de felicidade! Peça o seu. Link na bio
.
.
#brownie #brownienopote #dosedefelicidade #encomendeoseu","4","1334","750","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274737708_149506567517575_3211631873184584041_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=uj6bWDjnUtAAX9BP7nK&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8gPlyEzxpUQRqmtBwBxgZ73JgS5yyxEAWPcSlBjlofQA&oe=621E0870&_nc_sid=4efc9f","","owner didnt open","brownie","brownienopote","dosedefelicidade","encomendeoseu",,,,,,,,,,,,,,,,,,,,,,,,,,,"2782881541032329876","10",,,,,,,,,,"51507982428",,"7","igtv","brownienopote","CaeyARpOUKU","2022-02-27T12:42:03.000Z","Video","https://www.instagram.com/p/CaeyARpOUKU/","62"
"Photo by Rosemy Cherian in Virajpet, Coorg. May be an image of cake.","For someone special 
.
.
.
.
#pinatacake #cakes #birthdaycake #cakedecorating #chocolate  #cakesofinstagram #instacake #instafood #baking #yummy #cakestagram #cakedesign #homemade #cupcakes #bakery#delicious #cakeart #pastry #chocolatecake #instagood #foodphotography #buttercream  #desserts #cakelover #cupcake #fondant #foodstagram  #brownies #cakedesigner  #baker","1","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274904427_476309157560142_8536360558251983058_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=HmZ65x0j1MoAX_-8PUF&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8qQ2WcVDU1Weo-dgHtuom-u85P1T7IqDJpB-1slzFjMg&oe=6221CBAC&_nc_sid=4efc9f","","owner didnt open","pinatacake","cakes","birthdaycake","cakedecorating","chocolate","cakesofinstagram","instacake","instafood","baking","yummy","cakestagram","cakedesign","homemade","cupcakes","bakery","delicious","cakeart","pastry","chocolatecake","instagood","foodphotography","buttercream","desserts","cakelover","cupcake","fondant","foodstagram","brownies","cakedesigner","baker","2783023776951182943","2",,,,,,,,,,"42760509732",,"9",,"brownies","CafSWFKpCZf","2022-02-27T17:18:28.000Z","Image","https://www.instagram.com/p/CafSWFKpCZf/",
"Photo by Felicità Brownies Artesanais on February 27, 2022. May be an image of child and text that says 'Quando pensar em desistir, lembre-se porque começou.'.","Jamais desista de ser feliz, pois a vida é um espetáculo imperdível, ainda que se apresentem dezenas de fatores a demonstrarem o contrário. - Augusto Cury arrasou na mensagem! E você ? Está pronto pra viver o hoje? Ótimo dia!

#brownie #browniefelicità #brownielovers #brownierecheado #brownienopote #brownieniteroi #brownieartesanal #amobrownie #confeitariaartesanal #docesniteroi #sobremesa #cookies #cookierecheado #browniegourmet #brownienutella #browniecake #browniecomsorvete #browniefit #festaniteroi #festainfantil #festaemcasa #browniepersonalizado #food #instafood #nutella #sejafeliz #sorvete","0","1080","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274689973_2052641298276779_5638570516223175340_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=QVcWSHbRwJcAX_MWv17&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9B-XMj2gtZzaAj0j0698LtIPyL2ZAaMWrgprGTNGNb6g&oe=62232058&_nc_sid=4efc9f","","owner didnt open","brownie","browniefelicità","brownielovers","brownierecheado","brownienopote","brownieniteroi","brownieartesanal","amobrownie","confeitariaartesanal","docesniteroi","sobremesa","cookies","cookierecheado","browniegourmet","brownienutella","browniecake","browniecomsorvete","browniefit","festaniteroi","festainfantil","festaemcasa","browniepersonalizado","food","instafood","nutella","sejafeliz","sorvete",,,,"2782865529343391765","1",,,,,,,,,,"8996670777",,"8",,"brownienopote","CaeuXRmMTgV","2022-02-27T12:04:06.000Z","Image","https://www.instagram.com/p/CaeuXRmMTgV/",
"Photo by BROWNIE & DELÍCIAS! 🍫💕 on February 26, 2022. May be an image of food and indoor.","Brownie de Doce de leite 😜

#brownierecheado #brownie #brownienopote #confeitarisporamor #docespersonalizados #brownieporamor #pimpameuinsta","1","1350","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274793258_149410237491652_2531435448666497054_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=hDe4nQMNY_IAX_-rRYC&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-czAe_0BNsVzPi0bJgJEwEn9S2PfmVk4Vj54XtX6kqWw&oe=6221A3C5&_nc_sid=4efc9f","","owner didnt open","brownierecheado","brownie","brownienopote","confeitarisporamor","docespersonalizados","brownieporamor","pimpameuinsta",,,,,,,,,,,,,,,,,,,,,,,,"2782569751295312763","15",,,,,,,,,,"51901551638",,"9",,"brownienopote","CadrHI0tEN7","2022-02-27T02:16:24.000Z","Image","https://www.instagram.com/p/CadrHI0tEN7/",
"Photo by DBocadillos in Santo Domingo, Dominican Republic. May be an image of dessert.","#brownies #browniesrd #brownieslovers #browniesnutella #nutellalovers #nutella #dulcesrd #bizcochosrd #cakes #menucomdo #menurd #eventosrd #eventosrd🇩🇴 #santodomingord #santodomingo #rd #rd🇩🇴 #","0","1350","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274755399_4856306774485852_1007792732501692605_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=NuWCNsdzwX0AX-QpD3_&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9J8EfBn9LCGNzJzhvasLbl8-ae7OQUHrhiJFc3MxnuHw&oe=62233687&_nc_sid=4efc9f","","owner didnt open","brownies","browniesrd","brownieslovers","browniesnutella","nutellalovers","nutella","dulcesrd","bizcochosrd","cakes","menucomdo","menurd","eventosrd","eventosrd🇩🇴","santodomingord","santodomingo","rd","rd🇩🇴",,,,,,,,,,,,,,"2783023759680576862","0",,,,,,,,,,"2051404459",,"10",,"brownies","CafSV1FO51e","2022-02-27T17:18:26.000Z","Image","https://www.instagram.com/p/CafSV1FO51e/",
"Photo by Receita di Vó - Bolos Caseiros in Franca, Brazil. May be an image of dessert and indoor.","Novidade!!!!
Brownie no pote 🤎

Mousse de leite Ninho, pedaços de Brownie e brigadeiro de chocolate 🍫 
É  de comer rezando 🙏

Não passe vontade, me chama no whatsApp e peça o seu 📲 16 99255-0347 

#bolodepotefranca #brownienopote #browniefrancasp #brownieévida #browniechocolatudo #bolonopotefrancasp #bolocaseirofranca #franca #francashopping","0","1350","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274938120_473614334482448_9062974461984358081_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=YWF_XgFowvcAX-DB6Yi&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9bgmffjIHmwhII8xi0xXNIFwjwgdj71-eu5UtKbMPERg&oe=622397F0&_nc_sid=4efc9f","","owner didnt open","bolodepotefranca","brownienopote","browniefrancasp","brownieévida","browniechocolatudo","bolonopotefrancasp","bolocaseirofranca","franca","francashopping",,,,,,,,,,,,,,,,,,,,,,"2782522361011715767","10",,,,,,,,,,"2944445359",,"10",,"brownienopote","CadgVhLrz63","2022-02-27T00:42:15.000Z","Image","https://www.instagram.com/p/CadgVhLrz63/",
"Photo by Duetto Browneria/Confeitaria on February 26, 2022. May be an image of cake.","Já imaginou vc com uma pizza dessa na sua mesa?? Em Março 😋😋. Dá uma espiadinha 👉
.
.
.
.
#brownie #pizza #bolo #confeitaria #olinda #brownienopote #browneria 
#sobremesa #confraternização","0","1350","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274737222_3122269381391618_4972157495110507481_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=a_ECkJ_jF98AX_BmEh2&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_HQvD3v2FRAcBvwyc2KIFIeyO6chL_uGkNBQEO7i3UTw&oe=6223454D&_nc_sid=4efc9f","","owner didnt open","brownie","pizza","bolo","confeitaria","olinda","brownienopote","browneria","sobremesa","confraternização",,,,,,,,,,,,,,,,,,,,,,"2782513102353929339","0",,,,,,,,,,"47870271785",,"11",,"brownienopote","CadeOyYrRR7","2022-02-27T00:23:51.000Z","Sidecar","https://www.instagram.com/p/CadeOyYrRR7/",
"Photo by Saborate on February 26, 2022. May be an image of cake and indoor.","Uma generosa camada de brownie, e entre o brownie, duas deliciosas camadas de recheio. Esse é o delicioso brownie no pote.
.
.
.
Entregamos dentro de irupi
.
.
.
.
#saboratedoceria #brownienopote #browniecremozer","0","1163","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274691231_1291771774635319_2299879915288074318_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=4Ny6A-1udKAAX-tqof3&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT96Y5CJD_bpcF3yuPQDK18_09RWumoxV6yW0RnQH6xSbQ&oe=62239208&_nc_sid=4efc9f","","owner didnt open","saboratedoceria","brownienopote","browniecremozer",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2782442219522399340","12",,,,,,,,,,"15537440160",,"12",,"brownienopote","CadOHTmrpxs","2022-02-26T22:03:01.000Z","Image","https://www.instagram.com/p/CadOHTmrpxs/",
,"Já quero! Brownie no pote! Recheio ninho e brigadeiro feito com cacau. Taxa de entrega de acordo com a distância. Whatsapp 88 999619861. 

#brownie #brownienopote #bolos #copodafelicidade  #juazeirodonorte #doces","0","750","750","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274906777_322086163230028_7884313354028589607_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Ws_LGj8EIIMAX-Mn_ms&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-M7SAXsIsDXfqlnYs_jOYhBBPVNVeXy586kkhuYHiZrA&oe=621E37E7&_nc_sid=4efc9f","","owner didnt open","brownie","brownienopote","bolos","copodafelicidade","juazeirodonorte","doces",,,,,,,,,,,,,,,,,,,,,,,,,"2782424723219241180","6",,,,,,,,,,"8453597432",,"13",,"brownienopote","CadKIs5v1jc","2022-02-26T21:28:16.000Z","Sidecar","https://www.instagram.com/p/CadKIs5v1jc/",
"Photo by Philippe on February 27, 2022. May be an image of food.","Happy Sunday! 
Grab something to show you Care- or Carrot- (Care a lot) 😋 

-

-

-

-

#cakes #patisserie #frenchpastries #pies #delicious #mousse #food #sanfrancisco #california #frenchfood #quiche #fruits #pastrychef  #cakedecorating #artist #coffee #croissants #brownies #france #muffins #foodies #foodporn #exploresf #sftravel #sanfranciscolife #tartsofinstagram #macaroons #eatlocal #farmtotable #chef","2","1350","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274815687_489966665868828_3145848477045958490_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ucw-afzsKRYAX8RC0wo&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_1YMdEgE0GucSdMmJqoVeVra_PUsF8-O8PBS82dsgWHg&oe=62228A63&_nc_sid=4efc9f","","owner didnt open","cakes","patisserie","frenchpastries","pies","delicious","mousse","food","sanfrancisco","california","frenchfood","quiche","fruits","pastrychef","cakedecorating","artist","coffee","croissants","brownies","france","muffins","foodies","foodporn","exploresf","sftravel","sanfranciscolife","tartsofinstagram","macaroons","eatlocal","farmtotable","chef","2783023744923642027","5",,,,,,,,,,"48341547791",,"11",,"brownies","CafSVnVpqir","2022-02-27T17:18:25.000Z","Sidecar","https://www.instagram.com/p/CafSVnVpqir/",
"Photo by Felicità Brownies Artesanais on February 26, 2022. May be an image of dessert and text that says 'Somos especializados em Produtos 100% Artesanais!'.","A Felicità Brownies Artesanais é especializada em Brownie e outros doces. Além de deliciosas, os produtos são artesanais e feitos com muito carinho. Venha conferir em nosso link na bio! Esperamos o seu pedido.

#brownie #browniefelicità #brownielovers #brownierecheado #brownienopote #brownieniteroi #brownieartesanal #amobrownie #confeitariaartesanal #docesniteroi #sobremesa #cookies #cookierecheado #browniegourmet #brownienutella #browniecake #browniecomsorvete #browniefit #festaniteroi #festainfantil #festaemcasa #browniepersonalizado #food #instafood #nutella #sejafeliz #sorvete","0","1080","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274907924_675913313830802_8726792776126665164_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=8TXotuTvgaoAX953jr7&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_o3u-fpEWn0veBi7xrtSomdHXLPkgIuOay5IEY4k03jg&oe=6222BDF3&_nc_sid=4efc9f","","owner didnt open","brownie","browniefelicità","brownielovers","brownierecheado","brownienopote","brownieniteroi","brownieartesanal","amobrownie","confeitariaartesanal","docesniteroi","sobremesa","cookies","cookierecheado","browniegourmet","brownienutella","browniecake","browniecomsorvete","browniefit","festaniteroi","festainfantil","festaemcasa","browniepersonalizado","food","instafood","nutella","sejafeliz","sorvete",,,,"2782412410604782660","10",,,,,,,,,,"8996670777",,"14",,"brownienopote","CadHVh4vIRE","2022-02-26T21:03:51.000Z","Image","https://www.instagram.com/p/CadHVh4vIRE/",
"Photo by Demi Sherman in Blyth, Northumberland with @demisdelights_bakery. May be an image of text that says 'Demis Delights BAKERY'.","NEW SMALL BUSINESS! 

@demisdelights_bakery 

As some of you may have seen over the last week I have taken the brave step to start my own business baking cakes from home! 

This is going to be a side occupation to my full time job but I have always loved baking and can’t wait to share my creations with you all.

I would love it if my lovely foodie friends who I have made along the way from running this blog would follow my new page @demisdelights_bakery and give it some love, whether you are far or near it would be much appreciated! 

I am currently awaiting my registration from the council which means I cannot start trading until after the 22nd March! 

#demisdelightsbakery #smallbusiness #smallbusinessuk #foodblogger #northeastfoodies #northeast #newcastlefoodies #northumberlandfoodies #foodblogger #foodblogfeed #cakes #baking #homebaking #brownies #blondies #cookies #cheesecake #food #foodporn #trending","3","640","640","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274915485_2822949811335868_8603853916260623180_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=9UFKp046KEYAX8t0cYt&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8HJ3HjMapCgVOGr1b7C7bucyLw6y4sX27XtVa9lN_StQ&oe=6222751A&_nc_sid=4efc9f","","owner didnt open","demisdelightsbakery","smallbusiness","smallbusinessuk","foodblogger","northeastfoodies","northeast","newcastlefoodies","northumberlandfoodies","foodblogfeed","cakes","baking","homebaking","brownies","blondies","cookies","cheesecake","food","foodporn","trending",,,,,,,,,,,,"2783023498264661625","7",,,"demisdelights_bakery",,,,,,,"38732941009",,"12",,"brownies","CafSSBnoU55","2022-02-27T17:17:55.000Z","Image","https://www.instagram.com/p/CafSSBnoU55/",
"Photo by Nanda Doces 🧁 in Bangu, Rio De Janeiro, Brazil. May be an image of dessert.","Vai deixar de matar sua vontade por chocolate? 🍫
.
Faça já seu pedido: 98957-6858
.
#docesgourmet #biscoitoamanteigado #chocolates #saboresgourmet #façaseupedido #pasteldeleiteninhorecheado #nutella #pascoa #ovosdepascoa #ovorecheado #páscoa2022
#brownienopote #brownierecheados #bigbis","0","1233","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274760999_695416121469401_2357429386222513901_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ydXBWn6qEV4AX9NYIWB&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9rQqLgUwxW08NYLFCoPEOSx19ZEFPzmXYb-lXdbxT9Zw&oe=622377B8&_nc_sid=4efc9f","","owner didnt open","docesgourmet","biscoitoamanteigado","chocolates","saboresgourmet","façaseupedido","pasteldeleiteninhorecheado","nutella","pascoa","ovosdepascoa","ovorecheado","páscoa2022","brownienopote","brownierecheados","bigbis",,,,,,,,,,,,,,,,,"2782400731152652301","2",,,,,,,,,,"48299310489",,"15",,"brownienopote","CadErkjJBgN","2022-02-26T20:40:36.000Z","Image","https://www.instagram.com/p/CadErkjJBgN/",
"Photo by Nanda Doces 🧁 in Bangu, Rio De Janeiro, Brazil. May be an image of dessert.","Corra e garanta já o seu ✅
.
Faça já seu pedido: 98957-6858
.
#docesgourmet #biscoitoamanteigado #chocolates #saboresgourmet #façaseupedido #pasteldeleiteninhorecheado #nutella #pascoa #ovosdepascoa #ovorecheado #páscoa2022
#brownienopote #brownierecheados #bigbis","0","1349","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274787768_1077960316270937_2770142404977223057_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=zzfHAA6Ip0UAX_5efmL&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT82C-n4QBwVSfLUUXqtRMUfFE99KGeJC9sQ9WI2TFtt6Q&oe=6223111C&_nc_sid=4efc9f","","owner didnt open","docesgourmet","biscoitoamanteigado","chocolates","saboresgourmet","façaseupedido","pasteldeleiteninhorecheado","nutella","pascoa","ovosdepascoa","ovorecheado","páscoa2022","brownienopote","brownierecheados","bigbis",,,,,,,,,,,,,,,,,"2782399853553295645","4",,,,,,,,,,"48299310489",,"16",,"brownienopote","CadEezOJKEd","2022-02-26T20:38:51.000Z","Image","https://www.instagram.com/p/CadEezOJKEd/",
"Photo by Double B’s on February 27, 2022. May be an image of dessert.","‼️ SUNDAY SPECIAL ‼️

⭐️ Blondie Off Cuts £5 a box 
⭐️ 25% OFF EVERYTHING on the Menu

Tap the app to order 👉http://onelink.to/doublebs

#doublebs #blondie #cheesecake #waffles #brownies #cookies #cookiedough #caramac #delivery #wigan","0","937","750","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274935914_484743046573924_8457717496955160364_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=xvugLPEUg48AX_D_iPF&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_dtUpx6OkO7YSakv9-hXCCnsYZiVNjoXAf8a_Rd-eYKA&oe=62221201&_nc_sid=4efc9f","","owner didnt open","doublebs","blondie","cheesecake","waffles","brownies","cookies","cookiedough","caramac","delivery","wigan",,,,,,,,,,,,,,,,,,,,,"2783023476823327769","1",,,,,,,,,,"39222327767",,"13",,"brownies","CafSRtpoIQZ","2022-02-27T17:17:53.000Z","Sidecar","https://www.instagram.com/p/CafSRtpoIQZ/",
"Photo by Nanda Doces 🧁 in Bangu, Rio De Janeiro, Brazil. May be an image of dessert and text that says 'BIG BIS'.","Big bis 😍
.
R$2,30 ou R$10,00 (caixa c/ 5uni.)
.
*Consulte confeitos disponíveis para montagem.
.
Faça já seu pedido: 98957-6858
.
#docesgourmet #biscoitoamanteigado #chocolates #saboresgourmet #façaseupedido #pasteldeleiteninhorecheado #nutella #pascoa #ovosdepascoa #ovorecheado #páscoa2022
#brownienopote #brownierecheados #bigbis","0","1349","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274717951_629302575033422_4800823721435489275_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=gD9Xb2p6FJMAX_yTJPd&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-iWLDWJcI1X7v6yvAZpL6mfxJhv5NQedr4_Ztb7dhbjA&oe=62235092&_nc_sid=4efc9f","","owner didnt open","docesgourmet","biscoitoamanteigado","chocolates","saboresgourmet","façaseupedido","pasteldeleiteninhorecheado","nutella","pascoa","ovosdepascoa","ovorecheado","páscoa2022","brownienopote","brownierecheados","bigbis",,,,,,,,,,,,,,,,,"2782399263171647901","1",,,,,,,,,,"48299310489",,"17",,"brownienopote","CadEWNYp5md","2022-02-26T20:37:41.000Z","Image","https://www.instagram.com/p/CadEWNYp5md/",
